path,title,order,description,section
"/intro","Introduction","1A","This pages ","Welcome"
"/set-up-instructions","Set Up Instructions","1B","setup","Welcome"
"/understand-necessity-git-github","Understanding the Necessity of Git and Github","2A","understanding why we need git and github","Understanding The Necessity"
"/faq","Frequently Asked Questions","2B","Some faqs","Understanding The Necessity"
"/git-init","Git Init","3A","Git Basics","Git Basics"
"/init","Init the Project","3B","The Project","Architecture"
"/state-machine","State Machine","3C","The Project","Architecture"
"/some-ui","Some UI","4A","The Project","The Game"
"/interacting-with-the-ui","Interacting with the UI","4B","The Project","The Game"
"/the-states","The States","4C","The Project","The Game"
"/transitioning-between-states","Transitioning Between States","4D","The Project","The Game"
"/pooping","Pooping","4E","The Project","The Game"
"/death","Death","4G","The Project","The Game"
"/conclusion","Wrapping Up","5A","The Project","Conclusion"